feature,importance
Glascow coma scale verbal response_last25_missing,0.0
Systolic blood pressure_first50_count,0.0
Systolic blood pressure_first50_missing,0.0
Systolic blood pressure_last50_count,0.0
Systolic blood pressure_last50_missing,0.0
Glascow coma scale verbal response_first25_missing,0.0
Systolic blood pressure_last25_count,0.0
Systolic blood pressure_last25_missing,0.0
Systolic blood pressure_last10_missing,0.0
Systolic blood pressure_last10_count,0.0
Glascow coma scale total_first50_missing,0.0
Glascow coma scale total_last50_missing,0.0
Glascow coma scale total_last25_missing,0.0
Temperature_full_missing,0.0
Glascow coma scale total_last10_count,0.0
Glascow coma scale total_last10_missing,0.0
Glascow coma scale verbal response_full_missing,0.0
Glascow coma scale verbal response_full_min,0.0
Glascow coma scale verbal response_first10_min,0.0
Glascow coma scale motor response_last10_missing,0.0
Glascow coma scale total_full_max,0.0
Glascow coma scale verbal response_first50_missing,0.0
Glascow coma scale total_full_count,0.0
Glascow coma scale total_full_missing,0.0
Glascow coma scale total_first10_missing,0.0
Glascow coma scale total_first10_max,0.0
Glascow coma scale total_first25_max,0.0
Glascow coma scale total_first25_missing,0.0
Glascow coma scale total_first50_min,0.0
Glascow coma scale total_first25_min,0.0
Glascow coma scale total_first50_max,0.0
Glascow coma scale total_first50_count,0.0
Glascow coma scale motor response_first10_missing,0.0
Glascow coma scale motor response_first10_count,0.0
Glascow coma scale motor response_first25_min,0.0
Glascow coma scale motor response_first25_max,0.0
Glascow coma scale motor response_first25_missing,0.0
Glascow coma scale motor response_first50_missing,0.0
Glascow coma scale motor response_last25_missing,0.0
Temperature_first10_missing,0.0
Temperature_first25_missing,0.0
Temperature_first50_missing,0.0
Temperature_last50_missing,0.0
Temperature_last25_count,0.0
Glascow coma scale eye opening_last50_missing,0.0
Glascow coma scale eye opening_last25_missing,0.0
Glascow coma scale eye opening_last10_missing,0.0
Glascow coma scale motor response_first10_max,0.0
Glascow coma scale motor response_first10_skew,0.0
Fraction inspired oxygen_last10_skew,0.0
Fraction inspired oxygen_last10_missing,0.0
Glascow coma scale eye opening_full_missing,0.0
Glascow coma scale eye opening_first10_min,0.0
Glascow coma scale eye opening_first10_max,0.0
Glascow coma scale eye opening_first10_skew,0.0
Glascow coma scale eye opening_first10_count,0.0
Glascow coma scale eye opening_first10_missing,0.0
Glascow coma scale eye opening_first25_mean,0.0
Glascow coma scale eye opening_first25_min,0.0
Glascow coma scale eye opening_first25_missing,0.0
Glascow coma scale eye opening_first50_missing,0.0
Temperature_last25_missing,0.0
Temperature_last10_missing,0.0
Weight_full_missing,0.0
Weight_first10_std,0.0
Weight_first10_min,0.0
Weight_first10_skew,0.0
Weight_first10_count,0.0
Weight_first10_missing,0.0
Weight_first25_mean,0.0
Weight_first25_std,0.0
Weight_first25_skew,0.0
Weight_first25_missing,0.0
Fraction inspired oxygen_first25_max,0.0
Fraction inspired oxygen_first25_missing,0.0
Fraction inspired oxygen_first50_min,0.0
Fraction inspired oxygen_first50_max,0.0
Fraction inspired oxygen_first50_count,0.0
Fraction inspired oxygen_first50_missing,0.0
Fraction inspired oxygen_last50_missing,0.0
Fraction inspired oxygen_last25_skew,0.0
Fraction inspired oxygen_last25_missing,0.0
Fraction inspired oxygen_last10_min,0.0
Diastolic blood pressure_last50_count,0.0
Diastolic blood pressure_last50_missing,0.0
Diastolic blood pressure_last25_count,0.0
Diastolic blood pressure_last25_missing,0.0
Diastolic blood pressure_last10_count,0.0
Diastolic blood pressure_last10_missing,0.0
Fraction inspired oxygen_full_max,0.0
Fraction inspired oxygen_full_missing,0.0
Fraction inspired oxygen_first10_mean,0.0
Fraction inspired oxygen_first10_count,0.0
Fraction inspired oxygen_first10_missing,0.0
Capillary refill rate_last10_missing,0.0
Diastolic blood pressure_first10_missing,0.0
Diastolic blood pressure_first25_missing,0.0
Diastolic blood pressure_first50_missing,0.0
Weight_first50_missing,0.0
Weight_last50_skew,0.0
Weight_last50_missing,0.0
Weight_last25_skew,0.0
Weight_last25_missing,0.0
Weight_last10_std,0.0
Weight_last10_min,0.0
Weight_last10_skew,0.0
Weight_last10_missing,0.0
pH_full_missing,0.0
Capillary refill rate_first25_mean,0.0
Capillary refill rate_first10_missing,0.0
Capillary refill rate_first10_skew,0.0
Capillary refill rate_first10_max,0.0
Capillary refill rate_first10_min,0.0
Capillary refill rate_first10_mean,0.0
Capillary refill rate_full_missing,0.0
Capillary refill rate_full_count,0.0
Capillary refill rate_full_skew,0.0
Capillary refill rate_full_min,0.0
